quote,entry,rating
Dined here twice now and it just gets better & better each time.,The first time we dined here there were over 20 of us & the staff were excellent & managed to get all orders out perfectly and each meal was beautiful.We were so impressed that we decided to return with family & the staff we so...More,5
Best Indian food in London!! Highly recommend,"Amazing food beautifully presented. My favourite Indian in London, definitely worth a trip! really good vibe with amazing serviceMore",5
Excellent,"Went for my birthday dinner and have to say from booking the table to getting the bill it was just a wonderful evening.
The food was absolutely delicious and beautifully presented.
The service was impeccable and we can’t wait to go back on New Year’s...More",5
Superb Service - Wonderful Taste Experience,"We fully enjoyed the combination of presentation, quality creative dishes and exceptional considerate service. Three generations were greatly pleased. I suggest you reserve, especially on weekend. Will return ASAPMore",5
Party for my son,"I arranged a party at Bayleaf for my son's 21st. I had 35 people and was anxious about seating everyone comfortably and sorting out a good selection of dishes.
The manager together with his fantastic staff could not have done more to help.
The food...More",5
"Excellent food, exceptional service!","We were privileged to attend a 21st-birthday dinner for 36 people at the Bayleaf Restaurant last night. We expected a decent local Indian restaurant. What we had was a truly superb dining experience. Every morsel of food was absolutely delicious, perfectly spiced and beautifully presented...More",5
Delicious food beautifully presented,Every dish is delicious - and each one was beautifully presented. Staff could not be friendlier or more helpful.More,5
Beautiful food! Friendly staff!,We came here on Monday night after a spa day and the food was amazing! Although rather pricey! We're happy to pay a little more for fine dining but i found £4.50 abit much for a small diet coke. We paid almost £70 for 2...More,4
Great for a special occasion!,"The food on offer here is a little different to the average neighbourhood curry house . The menu is eclectic, the cooking of an incredibly high quality , and the prices reflect this .

I would recommend for a birthday or other occasion ... otherwise...More",4
Dinner party very overpriced ,"We had a party there a few weeks back. We were offered the set menus, the food was very bland! Portions couldn’t justify the hefty price tag! The veg options were awful and we paid the same as the meat option. £45 per head for...More",2
Outstanding ,"I Went here on Friday for impromptu dinner with my boyfriend. The food, atmosphere, presentation and service were impeccable. I would highly recommend. Dishes and wine are pricey but worth it. It definitely exceeded our expectations. 
If I could give any tips/suggestions it would just...More",5
Special Birthday at Bayleaf,"My boyfriend took me to Bayleaf for my birthday last night and I walked out of their door feeling really special. Glass of bubbly upon arrival, amazing service, delicate attention all the way through, beautiful presentation, gorgeous food. Birthday song and candle on my cake....More",5
Outstanding,"We have been loyal customers of the Bayleaf takeaway for the past 15 years, so naturally when we heard they opened a restaurant, we had to try.
It's definitely what you'd expect. Top quality fresh ingredients, amazing flavours with a bit of inventive twist. Lovely...More",5
"Outstanding, a star","At the risk of gushing, this is an excellent restaurant. Freshly cooked food, brilliantly presented in comfortable, contemporary surroundings with great service. Definitely not to be compared with a 'bog standard Indian' this is in a class if it's own. First rate.More",5
Excellent north London restaurant ,My husband and I come here often and it's our favourite Indian restaurant in the area. The service is always exemplar and the food is superb - I have a 'hot' palate and their hottest curry is absolutely perfect for me. The wine selection is...More,5
